n,list-addlast-withtail.ticks
0,0
500,2499
1000,4999
1500,7499
2000,9999
2500,12499
3000,14999
3500,17499
4000,19999
4500,22499
5000,24999
5500,27499
6000,29999
6500,32499
7000,34999
7500,37499
8000,39999
8500,42499
9000,44999
9500,47499
10000,49999
10500,52499
11000,54999
11500,57499
12000,59999
12500,62499
13000,64999
13500,67499
14000,69999
14500,72499
