n,list-addlast-withtail.time
0,0
500,0
1000,1
1500,2
2000,3
2500,6
3000,8
3500,13
4000,15
4500,18
5000,23
5500,27
6000,37
6500,41
7000,48
7500,61
8000,66
8500,72
9000,83
9500,89
10000,97
10500,106
11000,115
11500,127
12000,138
12500,154
13000,174
13500,187
14000,197
14500,210
