n,list-addlast-withtail.ticks
0,0
500,2998
1000,5998
1500,8998
2000,11998
2500,14998
3000,17998
3500,20998
4000,23998
4500,26998
5000,29998
5500,32998
6000,35998
6500,38998
7000,41998
7500,44998
8000,47998
8500,50998
9000,53998
9500,56998
10000,59998
10500,62998
11000,65998
11500,68998
12000,71998
12500,74998
13000,77998
13500,80998
14000,83998
14500,86998
